confuctivity	time	label_number	width	height	number of pixels	mean_intensity	w_h_ratio
166.0	228	1	1	1	2231	14839	1.0
166.0	229	1	39	4	1801	12566	0.10256410256410256
166.0	229	19	23	1	551	3213	0.043478260869565216
166.0	231	1	48	2	1447	9246	0.041666666666666664
166.0	231	3	3	4	455	2700	1.3333333333333333
166.0	232	2	26	2	866	5404	0.07692307692307693
166.0	232	3	32	2	493	3337	0.0625
166.0	232	6	18	6	366	2627	0.3333333333333333
166.0	232	11	17	2	613	4425	0.11764705882352941
166.0	232	18	38	14	784	5680	0.3684210526315789
166.0	232	24	40	1	1160	9528	0.025
166.0	232	29	22	1	975	6406	0.045454545454545456
166.0	233	1	70	3	4008	37233	0.04285714285714286
166.0	233	13	69	188	4549	46443	2.7246376811594204
166.0	233	19	6	1	221	1391	0.16666666666666666
166.0	233	41	4	1	958	6841	0.25
166.0	233	49	19	5	243	1457	0.2631578947368421
166.0	233	58	8	4	737	5213	0.5
166.0	233	120	2	1	219	1863	0.5
166.0	234	1	43	2	2558	17206	0.046511627906976744
166.0	234	13	40	5	1566	8857	0.125
166.0	235	7	121	200	2972	36576	1.6528925619834711
166.0	235	11	64	1	4328	53000	0.015625
166.0	235	13	22	3	213	1481	0.13636363636363635
166.0	235	17	26	15	371	2504	0.5769230769230769
166.0	235	37	44	2	2184	18386	0.045454545454545456
166.0	236	1	45	1	5654	82223	0.022222222222222223
166.0	236	40	13	3	248	2799	0.23076923076923078
166.0	237	1	1	3	2175	13149	3.0
166.0	237	11	21	1	495	2956	0.047619047619047616
166.0	237	12	1	4	387	2376	4.0
166.0	237	34	4	4	335	1862	1.0
166.0	237	81	34	3	616	2852	0.08823529411764706
166.0	238	1	21	4	370	1642	0.19047619047619047
166.0	238	4	3	1	1130	6944	0.3333333333333333
166.0	238	7	3	1	419	1947	0.3333333333333333
166.0	238	18	37	1	2146	12329	0.02702702702702703
166.0	238	26	3	4	2619	15460	1.3333333333333333
166.0	238	32	25	4	772	4403	0.16
166.0	239	1	47	2	1414	8252	0.0425531914893617
166.0	239	7	30	1	644	3894	0.03333333333333333
166.0	239	9	5	6	1587	8823	1.2
166.0	239	15	17	1	287	1682	0.058823529411764705
166.0	239	17	4	4	288	1705	1.0
166.0	239	153	20	2	284	1624	0.1
166.0	240	1	90	2	11958	186784	0.022222222222222223
166.0	240	13	50	1	1594	10957	0.02
166.0	240	40	14	4	291	2933	0.2857142857142857
166.0	240	150	26	3	275	1862	0.11538461538461539
166.0	240	151	7	6	812	7148	0.8571428571428571
166.0	242	1	4	1	1196	7166	0.25
166.0	242	3	1	1	468	2656	1.0
166.0	242	7	14	3	278	1400	0.21428571428571427
166.0	242	27	6	3	347	1895	0.5
166.0	242	30	25	1	354	2155	0.04
166.0	242	33	28	4	641	3143	0.14285714285714285
166.0	243	1	23	1	340	2077	0.043478260869565216
166.0	243	2	4	4	246	1245	1.0
166.0	244	1	4	1	539	3224	0.25
166.0	244	3	26	3	378	2327	0.11538461538461539
166.0	244	6	26	2	358	2139	0.07692307692307693
166.0	244	10	4	1	427	2184	0.25
166.0	244	29	18	3	244	1530	0.16666666666666666
166.0	246	1	13	7	273	1829	0.5384615384615384
166.0	246	2	4	5	749	4368	1.25
166.0	246	12	15	2	230	1256	0.13333333333333333
166.0	247	4	17	1	266	1769	0.058823529411764705
166.0	247	7	1	1	588	3086	1.0
166.0	248	2	63	4	1397	8130	0.06349206349206349
